No,Kode,KodeYF,Nama  Perusahaan ,IPO
1,AALI,AALI.JK,Astra Agro Lestari Tbk.,12/9/1997
2,ACES,ACES.JK,Ace Hardware Indonesia Tbk.,11/6/2007
3,ADHI,ADHI.JK,Adhi Karya (Persero) Tbk.,3/18/2004
4,ADRO,ADRO.JK,Adaro Energy Tbk.,7/16/2008
5,AKRA,AKRA.JK,AKR Corporindo Tbk.,10/3/1994
6,ANTM,ANTM.JK,Aneka Tambang Tbk.,11/27/1997
7,ASII,ASII.JK,Astra International Tbk.,4/4/1990
8,ASRI,ASRI.JK,Alam Sutera Realty Tbk.,12/18/2007
9,BBCA,BBCA.JK,Bank Central Asia Tbk.,5/31/2000
10,BBNI,BBNI.JK,Bank Negara Indonesia (Persero) Tbk.,11/25/1996
11,BBRI,BBRI.JK,Bank Rakyat Indonesia (Persero) Tbk.,11/10/2003
12,BBTN,BBTN.JK,Bank Tabungan Negara (Persero) Tbk.,12/17/2009
13,BDMN,BDMN.JK,Bank Danamon Indonesia Tbk.,12/6/1989
14,BEST,BEST.JK,Bekasi Fajar Industrial Estate Tbk.,4/10/2012
15,BJBR,BJBR.JK,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,7/8/2010
16,BJTM,BJTM.JK,Bank Pembangunan Daerah Jawa Timur Tbk.,7/12/2012
17,BKSL,BKSL.JK,Sentul City Tbk.,7/28/1997
18,BMRI,BMRI.JK,Bank Mandiri (Persero) Tbk.,7/14/2003
19,BNGA,BNGA.JK,Bank CIMB Niaga Tbk.,11/29/1989
20,BNLI,BNLI.JK,Bank Permata Tbk.,1/15/1990
21,BRPT,BRPT.JK,Barito Pacific Tbk.,10/1/1993
22,BSDE,BSDE.JK,Bumi Serpong Damai Tbk.,6/6/2008
23,CPIN,CPIN.JK,Charoen Pokphand Indonesia Tbk,3/18/1991
24,CTRA,CTRA.JK,Ciputra Development Tbk.,3/28/1994
25,ELSA,ELSA.JK,Elnusa Tbk.,2/6/2008
26,ERAA,ERAA.JK,Erajaya Swasembada Tbk.,12/14/2011
27,ESSA,ESSA.JK,Surya Esa Perkasa Tbk.,2/1/2012
28,EXCL,EXCL.JK,XL Axiata Tbk.,9/29/2005
29,GGRM,GGRM.JK,Gudang Garam Tbk.,8/27/1990
30,GJTL,GJTL.JK,Gajah Tunggal Tbk.,5/8/1990
31,HMSP,HMSP.JK,H.M. Sampoerna Tbk.,8/15/1990
32,HRUM,HRUM.JK,Harum Energy Tbk.,10/6/2010
33,ICBP,ICBP.JK,Indofood CBP Sukses Makmur Tbk.,10/7/2010
34,INCO,INCO.JK,Vale Indonesia Tbk.,5/16/1990
35,INDF,INDF.JK,Indofood Sukses Makmur Tbk.,7/14/1994
36,INDY,INDY.JK,Indika Energy Tbk.,6/11/2008
37,INKP,INKP.JK,Indah Kiat Pulp & Paper Tbk.,7/16/1990
38,INTP,INTP.JK,Indocement Tunggal Prakarsa Tbk.,12/5/1989
39,ISAT,ISAT.JK,Indosat Tbk.,10/19/1994
40,ITMG,ITMG.JK,Indo Tambangraya Megah Tbk.,12/18/2007
41,JPFA,JPFA.JK,Japfa Comfeed Indonesia Tbk.,10/23/1989
